url,business_name,industry,mobile_score,mobile_lcp,mobile_cls,mobile_tbt,mobile_fcp,mobile_si,mobile_inp_crux,desktop_score,desktop_lcp,desktop_cls,desktop_tbt,desktop_fcp,desktop_si,platform,has_ssl,has_schema,schema_types,mobile_viewport
https://jainanuragassociates.com,Jain Anurag & Associates,Finance,38,4.08,1.362,570,2.89,5.56,N/A,54,0.80,0.355,791,0.76,1.23,Custom/Unknown,Yes,Yes,AccountingService,Yes
https://caselaadvisors.com,Casela Advisors,Finance,53,33.30,0.000,492,3.64,4.37,N/A,77,3.08,0.000,194,0.68,1.15,WordPress,Yes,Yes,None,Yes
https://capradipshah.com,Pradip K Shah & Co,Finance,88,3.10,0.003,N/A,3.10,3.10,N/A,99,0.74,0.001,N/A,0.74,0.74,Custom/Unknown,Yes,No,None,Yes
https://ndsadvisors.com,NDS Advisors,Finance,55,8.55,0.000,252,4.85,6.52,N/A,82,1.87,0.001,210,0.99,1.53,WordPress,Yes,Yes,FAQPage,Yes
https://ndsavla.in,N D Savla & Associates,Finance,47,7.28,0.240,86,4.24,9.02,N/A,74,1.58,0.303,21,0.91,2.05,WordPress,Yes,Yes,AccountingService; WebSite; FAQPage,Yes
https://prnco.in,Pravin R Navandar & Co,Finance,35,8.03,0.540,1,6.20,9.90,N/A,64,1.60,0.670,19,1.29,2.15,Custom/Unknown,Yes,No,None,Yes
https://nmd.org.in,NMD & Co Chartered Accountants,Finance,25,14.10,0.537,467,3.79,15.20,N/A,20,5.20,0.578,650,0.77,4.26,WordPress,Yes,Yes,None,Yes
https://madrecha.com,Madrecha & Co,Finance,89,3.45,0.000,132,1.38,2.79,N/A,94,0.83,0.000,104,0.40,2.07,Custom/Unknown,Yes,Yes,None,Yes
https://taxclue.in,TaxClue Advisors,Finance,57,4.24,0.003,631,3.34,6.83,144,35,1.18,0.798,881,0.92,5.17,GoDaddy,Yes,Yes,ProfessionalService; FAQPage,Yes
https://kcshah.com,KC Shah & Associates,Finance,93,3.09,0.001,27,0.88,3.08,N/A,92,0.53,0.179,N/A,0.33,0.64,Custom/Unknown,Yes,Yes,FAQPage,Yes
https://ashwineejoshi.co.in,CA Ashwinee Joshi & Associates,Finance,50,18.20,0.000,327,5.46,9.34,N/A,59,3.29,0.000,413,1.15,1.89,WordPress,Yes,Yes,None,Yes
https://theclassicpartners.com,The Classic Partners,Finance,56,28.22,0.000,N/A,5.45,12.38,N/A,65,4.84,0.008,N/A,1.34,3.88,WordPress,Yes,Yes,AccountingService; FAQPage,Yes
https://lawpointindia.com,Law Point India,Lawyers,Error,,,,,,,Error,,,,,,,,,,
https://solomonco.in,Solomon & Co Advocates & Solicitors,Lawyers,62,7.65,0.000,216,3.05,5.81,102,91,1.76,0.027,74,0.59,1.33,WordPress,Yes,Yes,None,Yes
https://augustuslaw.com,Augustus Law BKC,Lawyers,65,12.93,0.011,48,2.19,8.65,N/A,49,2.42,0.000,1688,0.57,3.40,Custom/Unknown,Yes,Yes,WebSite; BlogPosting; Organization,Yes
https://tnalegal.co.in,Thakur & Associates,Lawyers,72,3.33,0.171,N/A,3.11,7.51,N/A,72,2.08,0.312,40,0.77,1.64,Custom/Unknown,Yes,No,None,Yes
https://anaassociates.com,ANA Law Group,Lawyers,51,15.72,0.097,279,3.55,11.57,N/A,39,3.43,0.015,1966,1.24,5.66,WordPress,Yes,Yes,None,Yes
https://mmla.co,M M Legal Associates,Lawyers,95,2.46,0.001,N/A,1.11,4.03,N/A,100,0.72,0.007,N/A,0.42,0.96,WordPress,Yes,No,None,Yes
https://pvasco.com,P Vas & Co Advocates,Lawyers,64,18.91,0.015,3,3.11,6.22,N/A,78,3.08,0.002,N/A,0.67,2.28,Custom/Unknown,Yes,No,None,Yes
https://tuli.co.in,Tuli & Co,Lawyers,46,8.15,0.013,545,4.27,8.11,N/A,72,4.64,0.000,117,0.83,1.95,Custom/Unknown,Yes,No,None,Yes
https://royzz.com,Royzz & Co,Lawyers,31,22.81,0.032,1745,3.80,12.34,N/A,83,2.58,0.023,22,0.88,1.64,WordPress,Yes,Yes,LocalBusiness; WebSite,Yes
https://advocateshah.com,Chirag Shah & Co Advocates,Lawyers,28,16.88,1.044,215,5.86,10.35,N/A,41,1.89,0.280,706,1.37,2.84,Custom/Unknown,Yes,No,None,Yes
https://solislaw.in,Solis Law,Lawyers,51,20.00,0.153,77,4.65,9.31,N/A,56,3.97,0.307,14,1.04,2.50,WordPress,Yes,No,None,Yes
